p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
9.02363613146376e-08,0.388860552899182,0.175,0.441,0.00121070125975849,0,Cdk5alpha
1.08551399490534e-07,0.452114514123647,0.223,0.529,0.00145643412696449,0,beat-IV
1.31169386484658e-07,0.29355826504593,0.242,0.561,0.00175989965846466,0,CG10384
1.36298488799398e-07,0.483779899246254,0.102,0.294,0.00182871682422152,0,ru
1.46339976936423e-07,0.330100237902954,0.261,0.602,0.00196344347055599,0,lncRNA:CR45332
2.06381087679002e-07,0.354071860608098,0.178,0.433,0.00276901505338917,0,CG12594
2.23135055338509e-07,0.323907295045953,0.245,0.567,0.00299380303747678,0,CG34347
2.39796726626239e-07,0.312603846497514,0.178,0.433,0.00321735268114425,0,CG13300
2.83994472803945e-07,0.340950930349282,0.175,0.425,0.00381035384161053,0,CG30419
3.01845604468441e-07,0.259406782825639,0.137,0.35,0.00404986247515308,0,lncRNA:CR46348
3.64179167437943e-07,0.292101649504718,0.131,0.34,0.00488619188951488,0,CG5282
3.79644563622508e-07,0.331307167814899,0.162,0.401,0.00509369111012319,0,COX8
3.86422940817265e-07,0.302494383852998,0.229,0.529,0.00518463659694524,0,RFeSP
3.96439860959332e-07,0.292652976210388,0.124,0.329,0.00531903361449136,0,CG14641
5.56057651292834e-07,0.295087505496001,0.217,0.503,0.00746062550739595,0,Amun
7.39718625444479e-07,0.424841871309261,0.213,0.497,0.00992480479758857,0,CG13594
9.93520981702167e-07,0.254863448894913,0.271,0.591,0.013330071011498,0,betaTub56D
1.10579405079056e-06,0.301417725887319,0.29,0.636,0.014836438779457,0,CG31030
1.12944711297504e-06,0.445292401739201,0.156,0.382,0.0151537919147861,0,Dak1
1.18130088281777e-06,0.497282995785176,0.236,0.532,0.015849513944766,0,CG34393
1.18543583151935e-06,0.335256380980022,0.258,0.583,0.0159049925514951,0,stmA
1.24079741485287e-06,0.428145896242872,0.102,0.278,0.016647778915081,0,Cisd2
1.39653984467752e-06,0.314576117636426,0.248,0.548,0.0187373750960383,0,CG13995
1.54563451799418e-06,0.27772183609033,0.287,0.623,0.0207377783279279,0,beta-Spec
1.63983471650282e-06,0.252579955223257,0.28,0.612,0.0220016623913183,0,dpr19
1.98033999836084e-06,0.462478346927464,0.172,0.406,0.0265702217580074,0,CG7985
2.04998343256685e-06,0.372537614983305,0.102,0.27,0.0275046277147494,0,CG12158
2.12607246897166e-06,0.386598266127052,0.242,0.527,0.0285255143161927,0,mAChR-B
2.3223964041415e-06,0.363205053042865,0.191,0.428,0.0311595925543665,0,spab
